대분류,중분류,소분류,아이보리+,아이보리,주중,주말,블루,네이비,레드
일반석,1루내야상단석,일반,10400,11700,13000,17000,18700,20400,스페셜요금
일반석,1루내야상단석,청소년,8000,9000,10000,14000,15400,16800,스페셜요금
일반석,1루내야상단석,초등생,7200,8100,9000,12000,13200,14400,스페셜요금
일반석,3루내야상단석A,일반,9100,11700,13000,17000,18700,20400,스페셜요금
일반석,3루내야상단석A,청소년,7000,9000,10000,14000,15400,16800,스페셜요금
일반석,3루내야상단석A,초등생,6300,8100,9000,12000,13200,14400,스페셜요금
일반석,3루내야상단석B,일반,6500,11700,13000,17000,18700,20400,스페셜요금
일반석,3루내야상단석B,청소년,5000,9000,10000,14000,15400,16800,스페셜요금
일반석,3루내야상단석B,초등생,4500,8100,9000,12000,13200,14400,스페셜요금
일반석,중앙상단석,일반,7000,9000,10000,12000,13200,14400,스페셜요금
일반석,중앙상단석,청소년,4900,6300,7000,9000,9900,10800,스페셜요금
일반석,중앙상단석,초등생,3500,4500,5000,7000,7700,8400,스페셜요금
일반석,1루외야석,일반,6400,7200,8000,10000,11000,12000,스페셜요금
일반석,1루외야석,청소년,4000,4500,5000,7000,7700,8400,스페셜요금
일반석,1루외야석,초등생,2400,2700,3000,5000,5500,6000,스페셜요금
일반석,3루외야석,일반,4000,7200,8000,10000,11000,12000,스페셜요금
일반석,3루외야석,청소년,2500,4500,5000,7000,7700,8400,스페셜요금
일반석,3루외야석,초등생,1500,2700,3000,5000,5500,6000,스페셜요금
특별석,에비뉴엘석(그라운드석),,120000,120000,120000,150000,150000,150000,스페셜요금
특별석,에비뉴엘석(그라운드석)(시야방해),,84000,84000,84000,105000,105000,105000,스페셜요금
특별석,중앙탁자석,,32000,36000,40000,55000,60500,66000,스페셜요금
특별석,메디힐존(와이드탁자석),,24000,27000,30000,45000,49500,54000,스페셜요금
특별석,네이버 클립존(응원탁자석),,24000,27000,30000,45000,49500,54000,스페셜요금
특별석,3루 프리미엄석,,28000,31500,35000,50000,55000,60000,스페셜요금
특별석,내야탁자석,,20000,22500,25000,35000,38500,42000,스페셜요금
특별석,중앙상단탁자석,,20000,22500,25000,35000,38500,42000,스페셜요금
특별석,중앙상단탁자석(시야방해),,10000,11200,12500,17500,19200,21000,스페셜요금
특별석,쓰리디즘글라스존(3루단체석),,20000,22500,25000,30000,33000,36000,스페셜요금
특별석,쓰리디즘글라스존(3루단체석)(시야방해),,14000,15700,17500,21000,23100,25200,스페셜요금
특별석,르노존(외야 글램핑존),,24000,27000,30000,40000,44000,48000,스페셜요금
특별석,정관장 에브리타임존(외야탁자석),,24000,27000,30000,35000,38500,42000,스페셜요금
특별석,1루 내야필드석,,12000,13500,15000,20000,22000,24000,스페셜요금
특별석,3루 내야필드석 A,,12000,13500,15000,20000,22000,24000,스페셜요금
특별석,3루 내야필드석 B,,7500,13500,15000,20000,22000,24000,스페셜요금
특별석,중앙상단석(시야방해),,5600,6300,7000,8500,9300,10200,스페셜요금
